選手,登板,勝利,敗北,セーブ,ホールド,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,故意四,死球,三振,暴投,ボーク,失点,自責点,防御率
*中村　稔弥,15,0,0,0,0,0,0,0,0,0,87,20,19,2,10,1,0,8,0,0,8,7,3.15
中森　俊介,25,2,2,5,10,12,0,0,0,0.5,111,29.1,19,1,4,0,1,36,0,0,4,4,1.23
西野　勇士,9,0,4,0,0,0,0,0,0,0,207,49.2,49,3,11,0,2,29,0,0,17,17,3.08
西村　天裕,1,0,0,0,0,0,0,0,0,0,8,0.2,4,0,2,0,0,1,0,0,3,3,40.5
早坂　響,9,0,0,0,0,0,0,0,0,0,51,11,12,1,8,0,0,4,2,0,9,9,7.36
廣池　康志郎,18,1,3,0,4,5,0,0,0,0.25,87,20.1,21,4,6,0,0,20,0,0,11,11,4.87
廣畑　敦也,8,0,1,0,0,0,0,0,0,0,37,7.2,8,2,6,0,0,5,0,0,5,5,5.87
二木　康太,1,0,1,0,0,0,0,0,0,0,7,1,2,1,1,0,1,0,0,0,4,4,36
ボス,22,3,9,0,0,0,0,0,0,0.25,530,125,129,8,28,0,7,92,5,0,57,55,3.96
益田　直也,22,1,4,5,2,3,0,0,0,0.2,89,20.2,19,1,8,1,1,17,2,0,10,10,4.35
美馬　学,1,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,1,0,0,0,0,0
八木　彬,27,0,1,0,5,5,0,0,0,0,117,25.2,32,3,7,1,3,25,0,0,17,17,5.96
横山　陸人,50,2,4,12,20,21,0,0,0,0.333,227,56.1,37,3,16,2,5,47,3,0,14,13,2.08
*吉川　悠斗,2,1,0,0,0,0,0,0,0,1,41,9,5,1,6,0,2,6,1,0,7,6,6
内　星龍,25,3,5,1,1,2,0,0,0,0.375,355,83.1,83,7,23,1,3,42,1,0,30,27,2.92
江原　雅裕,30,1,1,0,1,2,0,0,0,0.5,147,31.1,35,1,21,1,1,18,0,0,14,12,3.45
大内　誠弥,2,0,0,0,0,0,0,0,0,0,36,9,5,0,5,0,0,6,0,0,2,2,2
加治屋　蓮,54,2,1,1,18,20,0,0,0,0.667,186,43.2,41,4,19,1,1,34,3,0,18,17,3.5
*辛島　航,2,0,2,0,0,0,0,0,0,0,32,6,15,1,1,0,0,1,0,0,7,7,10.5
岸　孝之,19,6,6,0,0,0,1,0,0,0.5,467,109,125,10,22,0,4,55,0,0,54,53,4.38
*古謝　樹,19,7,7,0,0,1,1,1,0,0.5,459,107,118,8,27,0,3,76,1,0,48,44,3.7
