選手,登板,勝利,敗北,セーブ,ホールド,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,故意四,死球,三振,暴投,ボーク,失点,自責点,防御率
*髙橋　遥人,8,3,1,0,0,0,0,0,0,0.75,174,43.1,38,3,8,0,0,48,0,0,16,11,2.28
デュプランティエ,15,6,3,0,0,0,2,2,0,0.667,349,90.2,53,1,20,1,6,113,2,0,19,14,1.39
ドリス,20,2,2,0,5,7,0,0,0,0.5,74,18.2,14,1,5,0,0,16,0,0,4,4,1.93
*富田　蓮,9,1,0,0,0,0,0,0,0,1,95,23.1,26,0,3,0,0,10,2,0,8,8,3.09
西　勇輝,1,0,1,0,0,0,0,0,0,0,23,4.2,7,0,2,0,0,2,0,0,3,3,5.79
ネルソン,23,2,1,0,7,8,0,0,0,0.667,136,32.2,29,2,9,1,2,25,3,0,7,7,1.93
ハートウィグ,16,2,0,0,5,7,0,0,0,1,53,12.1,9,1,7,0,1,8,1,0,5,5,3.65
畠　世周,12,0,0,0,4,4,0,0,0,0,47,12.1,8,0,5,1,0,3,0,0,0,0,0
早川　太貴,3,2,0,0,0,0,0,0,0,1,42,11.1,8,0,2,0,1,5,0,1,0,0,0
ビーズリー,8,1,3,0,0,1,0,0,0,0.25,132,29.1,35,0,12,2,3,25,1,0,16,15,4.6
村上　頌樹,26,14,4,0,0,0,3,3,2,0.778,679,175.1,131,9,25,4,7,144,3,1,41,41,2.1
*門別　啓人,12,2,3,0,0,0,0,0,0,0.4,198,44.2,55,5,15,1,3,28,0,0,22,22,4.43
湯浅　京己,40,4,4,0,22,26,0,0,0,0.5,144,35.2,26,1,15,2,2,27,1,0,10,10,2.52
*東　克樹,24,14,8,0,0,0,2,0,1,0.636,648,160.1,142,15,26,0,5,123,0,0,50,39,2.19
石田　裕太郎,21,3,5,0,1,1,1,1,0,0.375,361,90.2,73,10,21,3,0,94,1,0,42,36,3.57
伊勢　大夢,55,0,5,13,32,32,0,0,0,0,214,53,46,3,13,2,1,58,0,0,17,17,2.89
入江　大生,50,3,3,22,6,9,0,0,0,0.5,190,45.2,33,6,19,1,1,45,0,0,18,16,3.15
*岩田　将貴,3,0,0,0,0,0,0,0,0,0,7,1,2,0,1,0,1,0,0,0,2,2,18
ウィック,40,4,1,5,21,25,0,0,0,0.8,161,42.2,25,0,11,0,3,49,1,0,4,4,0.84
大貫　晋一,11,2,6,0,0,0,1,1,0,0.25,274,67,67,4,13,1,3,44,0,0,24,23,3.09
*ケイ,24,9,6,0,0,0,1,1,0,0.6,604,155,111,8,41,2,3,130,1,0,31,30,1.74
小園　健太,1,1,0,0,0,0,0,0,0,1,21,5,3,1,4,0,0,4,0,0,3,3,5.4
*坂本　裕哉,35,4,1,0,4,8,0,0,0,0.8,157,37,35,2,10,2,1,33,2,0,14,13,3.16
佐々木　千隼,20,2,1,0,4,6,0,0,0,0.667,94,21.2,20,1,11,1,1,20,0,0,10,10,4.15
ジャクソン,25,10,7,0,0,0,0,0,0,0.588,636,150.2,134,9,55,4,9,109,7,0,46,39,2.33
篠木　健太郎,3,0,1,0,1,1,0,0,0,0,27,5.1,6,1,4,0,1,3,0,0,6,6,10.13
平良　拳太郎,12,4,3,0,1,1,1,1,1,0.571,228,55,54,5,11,0,1,46,0,0,19,18,2.95
竹田　祐,6,4,1,0,0,0,0,0,0,0.8,141,37.1,23,3,10,1,1,27,0,0,7,7,1.69
*武田　陸玖,1,1,0,0,0,1,0,0,0,1,4,1,2,0,0,0,0,0,0,0,1,1,9
中川　虎大,30,0,1,1,3,3,0,0,0,0,106,25.2,24,3,7,2,0,25,1,0,9,9,3.16
バウアー,21,4,10,0,0,0,2,1,0,0.286,570,133.2,135,15,48,5,4,119,2,0,67,67,4.51
橋本　達弥,1,0,0,0,0,0,0,0,0,0,7,1,3,0,1,1,0,0,0,0,2,2,18
浜地　真澄,3,0,0,0,0,0,0,0,0,0,12,3,2,2,1,0,0,5,0,0,2,2,6
颯,27,0,1,0,2,2,0,0,0,0,105,23.1,26,1,8,2,2,16,0,0,6,5,1.93
藤浪　晋太郎,6,1,0,0,0,0,0,0,0,1,95,22,20,1,9,0,2,19,3,0,10,10,4.09
堀岡　隼人,13,0,0,0,0,0,0,0,0,0,62,13,17,1,8,1,0,19,0,0,6,5,3.46
マルセリーノ,2,0,0,0,0,0,0,0,0,0,9,1.1,1,0,3,0,1,3,0,0,2,2,13.5
松本　凌人,4,0,0,0,0,0,0,0,0,0,19,3.2,5,0,4,0,0,1,1,1,3,3,7.36
三嶋　一輝,6,0,0,0,0,0,0,0,0,0,39,6.2,13,1,6,2,0,4,1,0,10,8,10.8
宮城　滝太,50,4,1,0,14,18,0,0,0,0.8,214,51.2,40,1,24,2,0,44,2,0,15,12,2.09
森　唯斗,2,1,0,0,0,0,0,0,0,1,21,6,5,1,0,0,0,4,0,0,2,2,3
森原　康平,30,0,2,0,11,11,0,0,0,0,109,28,20,1,3,1,1,25,0,0,9,8,2.57
山﨑　康晃,17,0,3,1,1,1,0,0,0,0,65,15,14,4,7,2,0,12,0,0,7,7,4.2
吉野　光樹,2,0,0,0,0,0,0,0,0,0,35,7.2,8,2,5,0,0,8,0,0,5,4,4.7
若松　尚輝,7,0,0,0,0,0,0,0,0,0,36,8,14,1,1,0,0,3,0,0,7,7,7.88
アドゥワ　誠,4,0,3,0,0,0,0,0,0,0,88,19,26,2,5,0,1,11,0,0,14,11,5.21
遠藤　淳志,7,1,2,0,0,0,0,0,0,0.333,68,14,19,2,6,2,0,15,0,0,10,9,5.79
大瀬良　大地,23,7,9,0,0,0,0,0,0,0.438,571,134.2,131,11,38,5,2,88,4,0,57,52,3.48
大道　温貴,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0
岡本　駿,41,1,1,0,1,2,0,0,0,0.5,169,40.2,44,1,6,1,1,37,1,1,13,13,2.88
菊地　ハルン,4,0,0,0,0,0,0,0,0,0,15,4,2,0,1,0,0,1,0,0,1,1,2.25
栗林　良吏,55,1,1,10,23,24,0,0,0,0.5,210,52.1,35,3,18,2,1,54,0,0,14,13,2.24
斉藤　優汰,2,0,1,0,0,0,0,0,0,0,26,5.2,7,1,2,0,0,7,2,0,5,5,7.94
*佐藤　柳之介,6,1,2,0,0,0,0,0,0,0.333,108,25,22,1,13,0,0,17,1,0,11,10,3.6
島内　颯太郎,60,4,2,1,29,33,0,0,0,0.667,224,57.2,30,1,21,1,1,57,2,0,11,9,1.4
鈴木　健矢,24,2,0,0,0,2,0,0,0,1,137,33.1,27,1,8,1,3,19,0,1,8,7,1.89
*髙　太一,8,3,2,0,0,0,1,0,0,0.6,179,45.1,34,3,13,0,1,32,0,0,13,13,2.58
*高橋　昂也,24,2,1,0,1,3,0,0,0,0.667,141,35,31,2,9,1,2,26,1,0,13,10,2.57
*滝田　一希,7,0,0,0,0,0,0,0,0,0,32,8.1,3,0,5,0,0,7,0,0,2,2,2.16
*玉村　昇悟,17,6,8,0,0,0,0,0,0,0.429,368,88.1,92,3,13,1,3,71,0,0,40,38,3.87
*辻　大雅,16,0,0,0,0,0,0,0,0,0,62,16,12,2,3,0,0,21,0,0,2,2,1.13
常廣　羽也斗,7,2,4,0,0,0,0,0,0,0.333,125,26,37,2,4,0,4,21,1,0,28,23,7.96
ドミンゲス,6,1,1,0,0,0,0,0,0,0.5,114,26.2,18,2,17,0,1,20,1,0,11,11,3.71
*床田　寛樹,26,9,12,0,0,0,6,3,3,0.429,705,171.1,158,13,42,3,1,102,5,0,64,60,3.15
中﨑　翔太,51,3,2,0,14,17,0,0,0,0.6,172,42,36,2,9,2,4,29,1,0,12,11,2.36
*ハーン,55,1,2,8,21,22,0,0,0,0.333,222,51,54,3,17,3,3,54,4,0,20,19,3.35
*長谷部　銀次,5,0,0,0,0,0,0,0,0,0,30,5.1,9,0,4,0,1,7,0,0,9,9,15.19
*塹江　敦哉,28,0,1,1,8,8,0,0,0,0,104,21.2,26,2,8,1,3,28,1,0,13,13,5.4
益田　武尚,4,0,0,0,0,0,0,0,0,0,23,5,6,1,3,0,1,5,0,0,5,5,9
松本　竜也,4,0,0,0,0,0,0,0,0,0,17,3.2,4,1,1,0,0,4,0,0,4,2,4.91
*森　翔平,23,7,8,0,0,0,1,1,0,0.467,554,132,129,14,32,1,4,101,2,0,54,52,3.55
*森浦　大輔,60,2,3,12,25,27,0,0,0,0.4,224,55.1,44,3,15,5,4,60,5,0,10,10,1.63
森下　暢仁,22,6,14,0,0,0,3,0,1,0.3,622,152.1,140,6,37,3,5,92,1,0,53,42,2.48
アビラ,15,7,8,0,0,1,0,0,0,0.467,343,82.1,70,4,30,1,4,61,6,0,41,37,4.04
青柳　晃洋,3,0,2,0,0,0,0,0,0,0,65,13.1,14,3,11,0,3,9,0,0,12,12,8.1
*石川　雅規,8,2,4,0,1,1,0,0,0,0.333,134,27.2,42,3,9,1,2,9,0,0,28,25,8.13
*石原　勇輝,2,0,0,0,0,0,0,0,0,0,23,4,8,0,3,0,0,3,0,0,6,5,11.25
石山　泰稚,42,3,3,14,7,10,0,0,0,0.5,153,40.2,23,3,8,1,1,38,0,0,11,10,2.21
大西　広樹,50,3,3,4,21,24,0,0,0,0.5,193,46,41,0,14,2,2,35,4,0,8,6,1.17
小川　泰弘,13,4,5,0,0,0,1,1,1,0.444,336,78.1,89,7,15,1,1,48,1,0,38,32,3.68
奥川　恭伸,18,4,8,0,0,0,0,0,0,0.333,457,100,127,11,33,2,4,77,3,0,53,48,4.32
金久保　優斗,12,0,1,0,1,1,0,0,0,0,66,14,23,4,4,0,0,11,1,0,12,12,7.71
木澤　尚文,42,2,1,0,9,11,0,0,0,0.667,182,39.2,40,2,21,3,4,24,3,1,15,15,3.4
北村　拓己,1,0,0,0,0,0,0,0,0,0,6,1,2,0,1,0,0,1,0,0,1,1,9
小澤　怜史,25,0,5,0,3,3,0,0,0,0,124,26.1,27,5,18,2,1,30,0,0,17,16,5.47
阪口　皓亮,18,0,0,0,0,0,0,0,0,0,108,24.1,27,2,13,1,3,12,1,0,11,10,3.7
*坂本　拓己,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0
清水　昇,35,0,2,1,5,5,0,0,0,0,173,38,51,2,10,2,1,37,1,0,22,20,4.74
下川　隼佑,9,2,1,0,0,0,0,0,0,0.667,112,29.2,19,2,7,0,2,20,0,0,9,9,2.73
*荘司　宏太,45,2,1,0,28,30,0,0,0,0.667,160,42.2,19,1,17,0,2,53,0,0,5,5,1.05
高梨　裕稔,17,3,6,0,0,0,0,0,0,0.333,402,95.2,95,7,25,1,4,77,4,1,40,33,3.1
*高橋　奎二,8,3,2,0,0,0,0,0,0,0.6,175,42,34,3,16,1,1,41,2,0,11,11,2.36
*田口　麗斗,36,1,1,0,11,12,0,0,0,0.5,122,29.1,21,0,10,1,2,25,1,0,11,9,2.76
中村　優斗,4,1,2,0,0,0,0,0,0,0.333,81,16.1,25,2,6,1,3,13,0,0,11,10,5.51
沼田　翔平,1,0,0,0,0,0,0,0,0,0,8,1,5,2,0,0,0,0,0,0,4,4,36
バウマン,16,0,2,0,1,1,0,0,0,0,75,15,17,3,12,2,0,19,0,0,8,7,4.2
*長谷川　宙輝,4,0,0,0,0,0,0,0,0,0,24,4.2,6,0,2,0,1,2,0,0,2,2,3.86
星　知弥,44,1,2,17,17,18,0,0,0,0.333,177,43,38,2,13,3,1,41,1,0,8,8,1.67
松本　健吾,23,1,0,0,0,1,0,0,0,1,131,33.2,29,3,7,0,0,24,0,0,7,7,1.87
丸山　翔大,8,0,0,0,0,0,0,0,0,0,45,9.2,11,2,6,0,0,11,1,0,9,9,8.38
矢崎　拓也,45,2,0,0,12,14,0,0,0,1,162,42,26,1,14,1,0,34,1,0,9,9,1.93
*山野　太一,14,5,3,0,0,0,0,0,0,0.625,339,78.2,89,12,21,2,1,65,1,0,35,32,3.66
*山本　大貴,17,0,0,0,1,1,0,0,0,0,74,15.2,19,1,6,0,1,6,1,0,12,9,5.17
吉村　貢司郎,22,8,6,0,0,0,0,0,0,0.571,546,130,132,14,27,1,2,85,1,0,51,44,3.05
ランバート,21,3,11,0,0,0,0,0,0,0.214,508,116.1,123,11,52,1,3,104,5,0,57,55,4.26
伊藤　茉央,12,1,0,0,0,1,0,0,0,1,46,11.1,9,0,5,0,0,5,0,0,2,1,0.79
岩嵜　翔,4,1,0,0,0,1,0,0,0,1,22,4.1,9,1,0,0,0,3,0,0,1,1,2.08
ウォルターズ,3,0,0,0,0,0,0,0,0,0,22,5,3,0,5,0,0,5,0,0,0,0,0
梅野　雄吾,26,2,1,0,2,4,0,0,0,0.667,114,26.2,20,2,14,1,2,25,2,0,12,12,4.05
*大野　雄大,20,11,4,0,0,0,1,0,0,0.733,477,120,95,6,26,0,4,72,0,0,34,28,2.1
*岡田　俊哉,4,0,1,0,0,0,0,0,0,0,34,7.2,10,1,1,0,0,9,0,0,7,7,8.22
勝野　昌慶,25,4,4,0,5,9,0,0,0,0.5,117,27,27,2,11,1,1,34,3,0,16,15,5
*金丸　夢斗,15,2,6,0,0,0,0,0,0,0.25,395,96.2,86,9,19,1,3,78,0,0,36,28,2.61
草加　勝,1,0,1,0,0,0,0,0,0,0,21,3.1,8,0,1,0,1,5,0,0,5,5,13.5
*近藤　廉,16,0,0,0,1,1,0,0,0,0,71,16.1,9,1,13,0,0,17,1,0,6,4,2.2
*齋藤　綱記,42,4,0,0,19,23,0,0,0,1,136,33,22,1,16,2,4,29,0,0,6,6,1.64
清水　達也,55,4,1,4,30,34,0,0,0,0.8,222,52.1,49,0,21,5,1,47,2,0,15,13,2.24
祖父江　大輔,19,0,0,0,1,1,0,0,0,0,81,17.2,29,1,6,0,1,4,0,0,9,9,4.58
髙橋　宏斗,26,8,10,0,0,1,3,2,1,0.444,690,171.2,145,11,50,2,5,138,9,0,57,54,2.83
仲地　礼亜,1,0,0,0,0,0,0,0,0,0,15,2.2,3,0,4,0,1,1,1,0,1,1,3.38
根尾　昂,4,0,0,0,0,0,0,0,0,0,27,5.2,9,2,2,0,0,5,0,0,5,5,7.94
*橋本　侑樹,42,2,3,0,12,14,0,0,0,0.4,167,40,38,3,12,2,1,40,2,0,16,15,3.38
*福　敬登,17,0,1,0,4,4,0,0,0,0,72,16.2,12,0,10,1,0,11,0,0,2,1,0.54
*福田　幸之介,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0
藤嶋　健人,60,1,4,1,23,24,0,0,0,0.2,221,52.2,48,3,16,3,0,34,1,0,21,19,3.25
*マラー,18,4,9,0,0,0,0,0,0,0.308,436,101.2,102,7,28,1,3,86,5,0,44,40,3.54
マルテ,35,1,4,2,14,15,0,0,0,0.2,131,32.1,21,2,11,0,4,25,2,0,10,7,1.95
松木平　優太,1,0,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,3,0,0,0,0,0
*松葉　貴大,23,7,11,0,0,0,1,0,0,0.389,595,145.2,136,9,37,1,7,61,1,0,45,44,2.72
松山　晋也,53,0,1,46,5,5,0,0,0,0,207,52.2,40,2,11,0,1,72,1,0,9,9,1.54
*三浦　瑞樹,7,2,3,0,0,0,0,0,0,0.4,157,33,38,4,22,1,1,21,1,1,20,17,4.64
メヒア,25,2,2,0,12,12,0,0,0,0.5,180,45.2,35,6,14,2,0,28,0,0,17,17,3.35
柳　裕也,14,3,5,0,0,0,0,0,0,0.375,339,79.1,75,2,28,0,5,66,3,0,30,29,3.29
*吉田　聖弥,5,0,1,0,0,0,0,0,0,0,40,9,10,1,5,0,0,3,0,0,6,5,5
涌井　秀章,12,4,6,0,0,0,0,0,0,0.4,267,63.1,63,4,19,1,6,41,2,0,31,29,4.12
有原　航平,26,14,9,0,0,0,1,1,0,0.609,724,175,167,10,41,1,6,121,2,0,67,59,3.03
伊藤　優輔,5,0,0,0,0,0,0,0,0,0,28,7,4,0,2,0,2,5,0,0,0,0,0
岩井　俊介,8,0,0,0,1,1,0,0,0,0,41,9.1,11,1,2,0,1,5,0,0,3,3,2.89
岩崎　峻典,1,0,0,0,0,0,0,0,0,0,8,1,4,0,1,0,0,2,0,0,3,3,27
上沢　直之,23,12,6,0,0,0,1,0,0,0.667,577,144.2,113,12,36,1,5,115,0,0,52,44,2.74
オスナ,26,3,1,8,6,9,0,0,0,0.75,106,26,23,2,6,1,3,16,0,0,12,12,4.15
*大江　竜聖,16,0,1,0,1,1,0,0,0,0,69,17.2,8,1,9,0,2,17,0,0,3,3,1.53
*大関　友久,24,13,5,0,0,0,0,0,0,0.722,586,146.2,107,11,35,1,5,97,0,0,36,27,1.66
大津　亮介,12,6,2,0,0,0,0,0,0,0.75,260,65.2,63,6,10,1,2,36,0,0,17,14,1.92
*大野　稼頭央,4,0,0,0,0,0,0,0,0,0,17,4.1,4,0,2,0,0,1,0,0,0,0,0
大山　凌,26,1,1,1,3,4,0,0,0,0.5,134,30.2,30,1,12,2,1,21,0,0,9,8,2.35
尾形　崇斗,38,1,1,0,5,6,0,0,0,0.5,154,34.2,36,7,12,1,0,41,2,0,21,18,4.67
上茶谷　大河,8,0,0,0,0,0,0,0,0,0,57,13,15,3,3,0,0,11,0,0,11,10,6.92
川口　冬弥,5,0,0,0,0,0,0,0,0,0,21,6,3,0,1,0,0,7,0,0,0,0,0
木村　光,13,0,0,1,0,0,0,0,0,0,65,17.2,9,1,5,0,0,17,0,0,2,2,1.02
杉山　一樹,65,3,4,31,10,13,0,0,0,0.429,270,64.1,48,3,23,0,9,85,4,0,17,13,1.82
津森　宥紀,22,1,1,1,3,4,0,0,0,0.5,103,21.1,27,2,8,2,4,25,1,0,8,8,3.38
東浜　巨,7,4,2,0,0,1,0,0,0,0.667,132,32.1,30,2,5,0,0,19,0,0,11,9,2.51
藤井　皓哉,51,2,3,2,19,21,0,0,0,0.4,195,50,32,2,14,0,2,75,2,0,9,8,1.44
*ヘルナンデス,42,1,2,0,9,10,0,0,0,0.333,164,40.1,34,1,12,0,3,43,1,0,15,15,3.35
