Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR2
23,알칸타라,25,3,19,19,0,0,0,0,8,4,0,0,121,44,50,50,492,125,20,3,11,10,4,0,92,6,0,3,3.27,3.72,3.72,3.8,3.47,1.12,3
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,이로운,25,2.85,75,0,75,5,0,0,6,5,1,33,77,17,19,23.85,305,56,4,1,7,26,0,5,66,1,0,2,1.99,2.22,2.79,2.72,3.77,1.06,2.85
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,콜어빈,25,2.57,28,28,0,0,0,0,8,12,0,0,144.2,72,80,72.45,649,142,26,3,9,79,18,1,128,8,0,6,4.48,4.98,4.51,4.56,4.59,1.53,2.57
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,한승혁,25,2.54,71,0,71,10,0,0,3,3,3,16,64,16,18,18.4,269,56,5,1,4,23,7,1,53,4,0,3,2.25,2.53,2.59,2.52,4.09,1.23,2.54
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,가라비토,25,2.54,15,15,0,0,0,0,4,4,0,0,78.1,23,31,29.45,327,56,5,0,6,37,6,1,84,3,0,2,2.64,3.56,3.38,3.17,3.91,1.19,2.54
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,문동주,25,2.53,24,23,1,2,1,0,11,5,0,0,121,54,57,55.8,501,112,16,5,7,31,3,0,135,2,0,11,4.02,4.24,4.15,4.17,2.72,1.18,2.53
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,헤이수스,25,2.47,32,30,2,0,0,0,9,9,0,1,163.2,72,85,82.25,712,173,22,2,17,44,8,0,165,10,2,7,3.96,4.67,4.52,4.7,3.65,1.33,2.47
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,로건,25,2.41,32,31,1,0,0,0,7,12,0,0,173,87,98,94.05,770,180,30,2,18,67,10,3,149,14,0,6,4.53,5.1,4.89,4.86,4.39,1.43,2.41
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,감보아,25,2.35,19,19,0,0,0,0,7,8,0,0,108,43,54,52.45,475,97,16,0,6,49,4,0,117,14,0,5,3.58,4.5,4.37,4.16,3.44,1.35,2.35
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,곽빈,25,2.01,19,19,0,0,0,0,5,7,0,0,109.1,51,55,52.95,465,96,23,3,9,41,2,0,107,8,0,5,4.2,4.53,4.36,4.5,3.71,1.25,2.01
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,김민,25,1.99,70,0,70,6,0,0,5,2,1,22,63.2,21,23,21.6,266,60,7,0,7,17,6,2,65,4,0,4,2.97,3.25,3.05,3.03,3.83,1.21,1.99
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,김서현,25,1.99,69,0,69,52,0,0,2,4,33,2,66,23,23,25.75,280,52,7,3,4,31,8,3,71,1,0,7,3.14,3.14,3.51,3.55,3.7,1.26,1.99
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,성영탁,25,1.99,45,0,45,5,0,0,3,2,0,7,52.1,9,11,13.9,198,38,6,0,2,13,0,0,30,4,0,1,1.55,1.89,2.39,2.5,3.74,0.97,1.99
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,박세웅,25,1.95,29,28,1,0,0,0,11,13,0,0,160.2,88,99,93.7,722,183,46,1,15,54,8,0,156,9,1,14,4.93,5.55,5.25,5.14,3.84,1.48,1.95
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,신민혁,25,1.93,28,28,0,1,1,0,6,3,0,0,132,70,76,73.1,568,148,18,2,23,26,6,1,84,6,0,3,4.77,5.18,4.98,4.8,5.18,1.32,1.93
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,로젠버그,25,1.79,13,13,0,0,0,0,4,4,0,0,75.1,27,33,31.1,320,63,13,2,5,25,4,0,80,7,0,2,3.23,3.94,3.72,3.89,3.29,1.17,1.79
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,류진욱,25,1.74,62,0,62,51,0,0,4,3,29,0,66,24,27,27.35,275,50,7,1,6,28,6,3,57,3,0,5,3.27,3.68,3.73,3.62,4.44,1.18,1.74
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,최원태,25,1.73,27,24,3,1,0,0,8,7,0,0,124.1,68,72,70.8,552,128,21,0,13,51,12,1,109,6,0,9,4.92,5.21,5.12,4.91,4.59,1.44,1.73
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,최승용,25,1.7,23,23,0,0,0,0,5,7,0,0,116.1,57,60,59.3,507,121,20,4,8,36,6,0,71,6,0,4,4.41,4.64,4.59,4.88,4.37,1.35,1.7
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,김광현,25,1.62,28,28,0,0,0,0,10,10,0,0,144,80,86,83.4,636,164,28,1,13,50,4,1,138,8,0,6,5,5.38,5.21,5.13,3.77,1.49,1.62
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,김원중,25,1.61,53,0,53,43,0,0,4,3,32,0,60.2,18,21,26.7,272,58,11,2,4,33,2,6,69,5,1,7,2.67,3.12,3.96,3.83,3.55,1.5,1.61
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
