Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR2
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,김민수,25,0.43,58,0,58,12,0,0,4,3,0,11,52.2,29,31,29.8,230,63,11,2,5,15,1,1,36,1,0,5,4.96,5.3,5.09,4.97,4.25,1.48,0.43
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,황준서,25,0.41,23,12,11,1,0,0,2,8,0,0,56,33,37,34.75,242,54,11,4,7,26,2,2,57,1,0,1,5.3,5.95,5.58,5.54,4.46,1.43,0.41
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,김강률,25,0.4,12,0,12,4,0,0,1,0,1,4,12.1,2,2,3.55,51,7,1,0,0,8,1,0,9,1,0,0,1.46,1.46,2.59,2.81,4.43,1.22,0.4
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,박시후,25,0.38,52,1,51,6,0,0,6,2,0,3,52.1,19,24,29.45,231,45,3,0,5,29,5,1,34,5,1,0,3.27,4.13,5.06,5.1,5.45,1.41,0.38
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,웰스,25,0.38,4,4,0,0,0,0,1,1,0,0,20,7,8,8,85,18,3,0,0,6,1,0,16,0,0,0,3.15,3.6,3.6,4.34,3.04,1.2,0.38
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,쿠에바스,25,0.37,18,18,0,0,0,0,3,10,0,0,98.1,59,69,66.75,445,104,14,2,13,46,5,0,60,5,1,4,5.4,6.32,6.11,5.96,5.63,1.53,0.37
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,이승민,25,0.36,62,1,61,11,0,0,3,2,0,8,64.1,27,37,41.5,280,61,15,2,5,26,3,2,53,3,0,1,3.78,5.18,5.81,5.34,4.18,1.35,0.36
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,김기훈,25,0.36,24,0,24,2,0,0,1,1,0,0,27.2,10,11,13.55,117,25,8,1,2,10,1,0,27,1,0,2,3.25,3.58,4.41,4.52,3.61,1.27,0.36
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,한두솔,25,0.36,44,0,44,7,0,0,2,0,1,3,36.1,20,22,20.3,169,46,5,0,1,19,1,1,27,2,0,1,4.95,5.45,5.03,4.84,4.06,1.79,0.36
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,윤산흠,25,0.36,12,1,11,4,0,0,0,0,0,0,16.2,7,7,7,73,16,5,0,1,5,3,0,17,1,1,1,3.78,3.78,3.78,3.79,3.62,1.26,0.36
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,양재훈,25,0.35,19,0,19,8,0,0,0,0,1,0,23.1,11,11,10.5,93,19,4,0,3,8,0,0,19,0,0,0,4.24,4.24,4.05,4.29,4.51,1.16,0.35
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,박정수,25,0.33,29,0,29,5,0,0,1,0,0,3,26.1,12,13,13.3,119,31,3,1,1,8,4,1,15,2,0,1,4.1,4.44,4.55,4.66,4.28,1.48,0.33
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,이재익,25,0.33,7,0,7,1,0,0,1,0,0,0,7.1,1,1,1,31,8,0,1,0,2,0,0,6,0,0,1,1.23,1.23,1.23,1.06,2.75,1.36,0.33
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,김태형,25,0.33,8,3,5,1,0,0,0,3,0,0,23.2,12,12,13.05,107,25,4,0,4,7,5,0,14,1,1,1,4.56,4.56,4.96,4.79,6.07,1.35,0.33
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,최준용,25,0.33,49,0,49,4,0,0,4,4,1,17,54.1,32,35,32.8,234,50,9,1,5,16,6,0,62,6,0,3,5.3,5.8,5.43,5.21,3.46,1.21,0.33
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,이재희,25,0.32,11,0,11,1,0,0,0,2,0,4,9,3,3,2.8,39,7,1,1,0,5,0,0,9,0,0,0,3,3,2.8,2.64,3.2,1.33,0.32
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,김녹원,25,0.32,21,16,5,1,0,0,3,4,0,1,70,51,53,47.35,327,75,13,1,10,47,3,0,37,3,0,4,6.56,6.81,6.09,5.94,6.58,1.74,0.32
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,박기호,25,0.32,18,1,17,6,0,0,0,0,0,2,24,8,10,12.2,110,23,2,0,3,12,8,1,13,1,0,2,3,3.75,4.58,4.53,6.59,1.46,0.32
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,주권,25,0.31,34,0,34,14,0,0,0,1,0,0,40.2,20,23,23.85,176,48,2,0,3,13,0,1,19,4,1,0,4.43,5.09,5.28,5.16,4.65,1.5,0.31
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,김기중,25,0.3,5,2,3,2,0,0,0,1,0,0,14.2,5,5,5,66,16,2,1,0,6,1,0,8,1,0,1,3.07,3.07,3.07,2.96,4.08,1.5,0.3
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,반즈,25,0.3,8,8,0,0,0,0,3,4,0,0,45.2,27,31,30.15,204,47,14,2,4,17,2,0,38,3,0,2,5.32,6.11,5.94,5.79,4.21,1.4,0.3
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,김현수,25,0.29,18,0,18,12,0,0,0,0,0,0,18.1,5,5,7.6,86,17,3,1,2,13,1,5,11,0,0,2,2.45,2.45,3.73,4.01,5.46,1.64,0.29
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,최용준,25,0.24,7,0,7,1,0,0,1,0,0,0,9,2,2,2.5,39,13,1,0,0,2,0,1,5,0,0,0,2,2,2.5,2.43,2.89,1.67,0.24
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,박치국,25,0.22,73,0,73,11,0,0,4,4,2,16,62.1,26,35,35.5,271,58,15,0,4,21,7,1,57,6,0,0,3.75,5.05,5.13,5.38,3.78,1.27,0.22
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,목지훈,25,0.2,16,15,1,0,0,0,3,5,0,0,58,39,42,40.8,280,68,8,3,6,42,5,1,45,0,2,9,6.05,6.52,6.33,5.97,5.75,1.9,0.2
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,김대호,25,0.2,11,4,7,5,0,0,0,1,0,0,21,12,13,13,105,25,6,0,3,15,1,0,19,2,0,1,5.14,5.57,5.57,5.04,5.79,1.9,0.2
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,이태양,25,0.19,14,0,14,4,0,0,0,1,0,0,11.1,5,5,5,51,14,5,0,0,5,1,1,8,0,0,0,3.97,3.97,3.97,4.02,3.85,1.68,0.19
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,원상현,25,0.19,52,0,52,5,0,0,0,3,0,14,57,33,35,34.6,259,56,10,0,8,35,1,3,45,1,0,4,5.21,5.53,5.46,5.44,5.52,1.6,0.19
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,윤영철,25,0.18,13,13,0,0,0,0,2,7,0,0,50,31,37,32.85,227,52,7,0,4,30,1,0,43,3,0,4,5.58,6.66,5.91,6.09,4.7,1.64,0.18
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,박건우,25,0.17,6,0,6,4,0,0,0,0,0,0,6.2,2,2,2,28,4,0,0,1,4,0,0,9,0,0,0,2.7,2.7,2.7,2.57,4.25,1.2,0.17
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,이교훈,25,0.17,10,0,10,3,0,0,1,0,0,0,7.2,1,2,3.2,29,4,1,0,0,4,1,0,7,0,0,2,1.17,2.35,3.76,3.92,3.72,1.04,0.17
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,송영진,25,0.17,21,8,13,2,0,0,2,5,0,0,63.1,41,45,43.45,288,77,5,1,10,31,3,1,40,1,0,2,5.83,6.39,6.17,6,5.89,1.71,0.17
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,조이현,25,0.17,3,3,0,0,0,0,1,2,0,0,11.2,7,7,6.5,50,17,2,1,2,0,1,0,3,0,0,0,5.4,5.4,5.01,4.77,5.59,1.46,0.17
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,전용주,25,0.17,21,0,21,0,0,0,0,1,0,4,13.2,6,8,6.8,66,18,4,0,0,7,0,1,11,0,0,3,3.95,5.27,4.48,4.56,3.55,1.83,0.17
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,최채흥,25,0.17,13,4,9,3,0,0,0,1,0,2,29,17,17,17.35,132,35,6,2,3,14,1,0,21,0,0,2,5.28,5.28,5.38,5.82,4.99,1.69,0.17
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,배제성,25,0.16,8,5,3,0,0,0,2,3,0,0,27,17,17,16.5,127,38,5,1,2,11,0,1,23,0,0,1,5.67,5.67,5.5,5.37,3.86,1.81,0.16
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,백승현,25,0.16,33,0,33,9,0,0,1,0,0,2,30,13,13,17.1,146,28,3,1,2,28,1,1,27,2,0,3,3.9,3.9,5.13,5.45,5.45,1.87,0.16
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,박준영,25,0.15,1,1,0,0,0,0,0,0,0,0,5,2,2,2,24,3,0,0,0,6,0,0,3,0,0,0,3.6,3.6,3.6,3.43,6.26,1.8,0.15
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,제환유,25,0.14,6,3,3,0,0,0,0,1,0,0,16.1,9,10,10.5,78,17,1,0,2,12,1,1,8,0,0,0,4.96,5.51,5.79,6.27,6.7,1.78,0.14
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,배재준,25,0.14,14,0,14,5,0,0,0,0,0,1,13,8,8,7,56,9,4,0,1,7,1,0,14,0,0,1,5.54,5.54,4.85,4.83,4.11,1.23,0.14
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,양현,25,0.13,4,0,4,3,0,0,0,0,0,0,3.1,0,0,0.5,15,2,0,0,0,3,0,0,1,0,0,0,0,0,1.35,1.43,6.05,1.5,0.13
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,송재영,25,0.13,46,0,46,6,0,0,1,0,0,3,27,12,13,16.8,121,19,4,0,3,24,0,0,28,3,0,2,4,4.33,5.6,5.56,5.49,1.59,0.13
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,소이현,25,0.12,7,0,7,4,0,0,0,0,0,0,8,5,5,3.95,36,5,1,0,0,7,1,0,3,0,0,2,5.63,5.63,4.44,4.19,6.18,1.5,0.12
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,황동재,25,0.1,15,1,14,5,0,0,0,1,0,0,20.2,16,16,14.25,104,27,2,0,1,14,2,0,22,0,0,3,6.97,6.97,6.21,5.58,4.31,1.98,0.1
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,송은범,25,0.09,5,0,5,3,0,0,0,0,0,0,6,3,3,3,28,9,2,0,0,3,0,0,2,0,0,3,4.5,4.5,4.5,4.15,4.69,2,0.09
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,임지민,25,0.08,7,0,7,3,0,0,0,1,0,1,4.2,2,2,2,20,1,0,0,0,5,0,0,7,0,0,0,3.86,3.86,3.86,4.1,3.6,1.29,0.08
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,김민재,25,0.07,1,0,1,1,0,0,0,0,0,0,2,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.67,1,0.07
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,윤중현,25,0.07,13,0,13,6,0,0,1,0,0,0,10.1,5,5,5.9,48,10,4,0,2,7,0,2,7,1,0,1,4.35,4.35,5.14,5.17,6.08,1.65,0.07
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,우강훈,25,0.06,11,0,11,4,0,0,0,0,0,0,9.2,5,5,5.7,46,12,2,0,0,6,2,0,5,0,0,0,4.66,4.66,5.31,5.52,5.27,1.86,0.06
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,김민규,25,0.06,7,1,6,5,0,0,1,1,0,0,9.2,5,5,4.85,47,9,3,0,1,6,4,0,6,0,0,0,4.66,4.66,4.52,4.35,6.91,1.55,0.06
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,황동하,25,0.06,18,3,15,3,0,0,1,2,0,0,35.2,21,21,22.7,155,38,14,1,4,10,3,0,31,1,0,0,5.3,5.3,5.73,5.81,4.25,1.35,0.06
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,신지환,25,0.04,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.62,0,0.04
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,유지성,25,0.04,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0.04
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,이상민,25,0.04,1,0,1,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.42,2,0.04
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,홍민규,25,0.03,20,2,18,11,0,0,2,1,1,0,33.1,17,19,20.9,151,37,6,0,4,15,1,0,17,1,0,4,4.59,5.13,5.64,6.06,5.61,1.56,0.03
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,정우준,25,0.03,3,0,3,2,0,0,0,0,0,0,3.1,2,2,2,16,6,3,0,0,0,1,0,3,0,0,0,5.4,5.4,5.4,5.02,2.63,1.8,0.03
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,최성훈,25,0.03,2,0,2,1,0,0,0,0,0,0,1,1,1,0.3,5,1,0,0,0,1,0,0,1,0,0,0,9,9,2.7,2.59,4.62,2,0.03
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,박진,25,0.03,51,5,46,11,0,0,3,3,1,3,69.1,41,42,49.9,302,76,10,3,10,22,1,0,50,3,0,5,5.32,5.45,6.48,6.03,4.89,1.41,0.03
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,김성민,25,0.02,2,0,2,1,0,0,1,0,0,0,0.2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,13.52,3,0.02
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,유승철,25,0.02,1,0,1,1,0,0,0,0,0,0,2,1,1,1,11,3,0,0,0,2,0,0,3,0,0,1,4.5,4.5,4.5,4.77,3.37,2.5,0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,조민석,25,0.02,6,2,4,1,0,0,0,1,0,0,13,10,10,8.95,61,12,2,0,3,11,2,0,4,1,0,2,6.92,6.92,6.2,5.92,9.1,1.77,0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,김한중,25,0.02,2,0,2,2,0,0,0,0,0,0,2,0,1,1,8,1,1,0,0,0,0,0,0,1,0,0,0,4.5,4.5,4.87,3.92,0.5,0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,최현석,25,0.02,13,0,13,8,0,0,0,0,0,0,17.1,12,13,12.15,77,21,2,0,5,6,2,0,11,0,0,1,6.23,6.75,6.31,6.36,7.24,1.56,0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,이종준,25,0.02,2,0,2,2,0,0,0,0,0,0,1.2,0,0,0.85,6,0,0,0,0,1,0,0,2,0,0,0,0,0,4.59,4.97,2.84,0.6,0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,한현희,25,0.02,3,2,1,0,0,0,0,0,0,1,8.2,6,6,6,41,13,2,0,2,2,1,0,8,0,0,1,6.23,6.23,6.23,6.23,5.46,1.73,0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,홍건희,25,0.01,20,0,20,7,0,0,2,1,0,0,16,11,13,10.4,83,18,1,0,2,15,0,1,15,2,0,0,6.19,7.31,5.85,6.1,6.06,2.06,0.01
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,데이비슨,25,0.01,1,0,1,1,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0.01
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,정성종,25,0.01,2,0,2,0,0,0,0,0,0,0,2.1,1,1,1.7,10,3,1,0,1,0,0,0,0,0,0,0,3.86,3.86,6.56,6.09,9.02,1.29,0.01
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,육선엽,25,0,27,1,26,8,0,0,0,1,0,1,28.2,17,21,19.45,133,23,3,0,4,24,0,0,19,5,0,2,5.34,6.59,6.11,6.21,6.6,1.64,0
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,윤성빈,25,0,31,1,30,9,0,0,1,2,0,0,27,23,23,18.85,130,26,7,0,3,20,4,1,44,1,0,6,7.67,7.67,6.28,5.93,3.89,1.7,0
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,최종인,25,0,3,0,3,2,0,0,0,0,0,0,1.2,1,1,1.2,9,1,0,0,0,3,0,0,5,0,0,2,5.4,5.4,6.48,7.02,2.18,2.4,0
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,김정엽,25,-0.01,2,0,2,1,0,0,0,0,0,0,1,2,2,0.8,5,0,0,0,0,1,1,0,0,0,0,0,18,18,7.2,7.63,10.32,1,-0.01
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,장재혁,25,-0.01,3,0,3,1,0,0,0,0,0,0,3,2,2,2,13,3,0,0,1,3,0,0,2,0,0,0,6,6,6,6.36,9.42,2,-0.01
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,도태훈,25,-0.01,1,0,1,1,0,0,0,0,0,0,1,1,1,1,6,3,0,0,1,0,0,0,1,0,0,0,9,9,9,8.6,13.32,3,-0.01
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,박시원,25,-0.01,2,0,2,1,0,0,0,0,0,0,1.1,2,2,1.15,9,0,0,0,0,5,0,0,0,0,0,0,13.5,13.5,7.76,8.41,15.92,3.75,-0.01
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,이도현,25,-0.02,6,2,4,1,0,0,1,1,0,0,13,10,11,10.3,65,17,5,0,1,8,1,0,9,2,0,1,6.92,7.62,7.13,7.32,5.32,1.92,-0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,김대우,25,-0.02,2,0,2,0,0,0,0,0,0,1,0.2,0,0,0.7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,9.45,9.05,3.92,1.5,-0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,이영재,25,-0.02,3,0,3,2,0,0,0,0,0,0,2,2,2,2,11,5,1,0,1,0,1,0,2,0,0,0,9,9,9,8.68,8.97,2.5,-0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,김태현,25,-0.02,1,0,1,0,0,0,0,0,0,0,2,1,2,2,12,1,0,0,0,4,0,0,2,1,0,0,4.5,9,9,8.36,7.82,2.5,-0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,서진용,25,-0.02,2,0,2,1,0,0,0,0,0,0,1.1,1,1,1,7,1,0,0,0,3,0,0,0,0,0,0,6.75,6.75,6.75,8.13,11.12,3,-0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,김정우,25,-0.02,18,0,18,9,0,0,0,0,1,1,21,9,12,14.6,103,26,4,0,1,9,3,0,13,3,0,1,3.86,5.14,6.26,6.53,4.77,1.67,-0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,이호성,25,-0.03,58,0,58,24,0,0,7,4,9,3,55.1,39,44,37.3,252,54,7,2,7,29,2,0,69,6,1,0,6.34,7.16,6.07,5.9,4.1,1.5,-0.03
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,권민규,25,-0.03,5,0,5,2,0,0,0,0,0,0,5.1,5,5,5,28,5,1,0,1,7,0,0,4,0,0,0,8.44,8.44,8.44,7.3,8.47,2.25,-0.03
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,심재민,25,-0.04,4,0,4,2,0,0,1,0,0,0,3,1,2,2.7,15,5,1,0,0,1,0,0,2,0,0,1,3,6,8.1,7.53,3.32,2,-0.04
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,이지강,25,-0.04,43,1,42,7,0,0,1,2,3,4,47.1,28,29,31.6,211,50,9,2,4,24,1,0,39,2,1,1,5.32,5.51,6.01,6.14,4.55,1.56,-0.04
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,김주온,25,-0.04,1,1,0,0,0,0,0,1,0,0,0.1,1,1,1,5,0,0,0,0,2,2,0,1,0,0,0,27,27,27,25.87,34.82,6,-0.04
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,임상현,25,-0.05,1,0,1,0,0,0,0,0,0,0,1,2,2,1.65,8,2,1,0,0,3,0,0,0,0,0,0,18,18,14.85,12.84,13.52,5,-0.05
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,박종훈,25,-0.06,5,5,0,0,0,0,0,2,0,0,19,15,17,14.3,90,15,1,0,4,18,5,0,10,2,0,0,7.11,8.05,6.77,6.88,8.98,1.74,-0.06
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,홍원표,25,-0.06,2,0,2,2,0,0,0,1,0,0,2,1,1,2.2,12,3,0,0,0,2,1,1,1,0,0,0,4.5,4.5,9.9,9.44,5.87,2.5,-0.06
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,코엔 윈,25,-0.06,5,5,0,0,0,0,1,1,0,0,23,18,19,18.15,107,28,7,0,4,4,5,0,8,2,0,0,7.04,7.43,7.1,6.98,6.37,1.39,-0.06
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,임창민,25,-0.07,16,0,16,1,0,0,1,0,0,2,13,7,8,9.75,63,17,2,0,5,7,1,1,6,0,0,0,4.85,5.54,6.75,6.09,9.06,1.85,-0.07
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,강백호,25,-0.07,1,0,1,1,0,0,0,0,0,0,1,2,2,2,7,3,1,0,1,1,0,0,1,0,0,0,18,18,18,19.49,16.52,4,-0.07
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,함덕주,25,-0.07,31,0,31,5,0,0,2,3,0,1,27,18,19,17.8,113,14,5,0,1,18,0,0,26,1,0,3,6,6.33,5.93,6.24,4.09,1.19,-0.07
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,강재민,25,-0.07,4,0,4,3,0,0,0,0,0,0,4,4,4,4,20,6,1,0,1,2,1,0,5,0,0,0,9,9,9,9,6.17,2,-0.07
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,김진수,25,-0.07,4,0,4,3,0,0,0,0,0,0,5,5,5,5,27,11,3,0,2,1,0,0,6,0,0,0,9,9,9,9.6,6.32,2.4,-0.07
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,김민규,25,-0.07,7,0,7,1,0,0,0,0,0,1,4.2,4,4,3.9,23,5,2,0,0,4,0,1,2,0,0,0,7.71,7.71,7.52,7.35,4.9,1.93,-0.07
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,김종운,25,-0.08,2,0,2,2,0,0,0,0,0,0,1.2,1,3,3,7,2,0,0,2,0,0,0,2,1,0,0,5.4,16.2,16.2,15.52,15.2,1.2,-0.08
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,김태현,25,-0.08,5,0,5,0,0,0,0,0,0,1,3,4,4,3.5,17,5,1,0,2,3,2,0,2,0,0,1,12,12,10.5,9.76,15.52,2.67,-0.08
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,한차현,25,-0.08,2,0,2,1,0,0,0,0,0,0,1.2,3,3,3,11,4,0,0,0,2,0,0,1,0,0,1,16.2,16.2,16.2,16.11,6.26,3.6,-0.08
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,임준형,25,-0.09,10,0,10,3,0,0,0,0,0,0,8.2,5,7,7.15,42,11,1,0,0,7,1,0,6,0,0,1,5.19,7.27,7.43,7.23,5.14,2.08,-0.09
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,김재원,25,-0.09,4,0,4,3,0,0,0,0,0,0,4.1,5,5,5.2,24,3,1,0,0,8,1,0,4,0,0,3,10.38,10.38,10.8,10.33,8.26,2.54,-0.09
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,이채호,25,-0.1,10,1,9,2,0,0,0,0,0,0,11.2,8,8,10.05,53,12,3,2,1,5,2,1,8,0,0,0,6.17,6.17,7.75,7.51,4.87,1.46,-0.1
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,원종혁,25,-0.1,2,0,2,1,0,0,0,0,0,0,1.2,3,3,3.5,10,3,0,0,1,2,0,0,1,0,0,0,16.2,16.2,18.9,18.29,6.26,3,-0.1
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,박진형,25,-0.1,7,0,7,4,0,0,0,0,0,0,5.1,5,7,5.95,29,9,3,0,1,3,0,0,5,1,0,0,8.44,11.81,10.04,9.64,5.61,2.25,-0.1
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,김대유,25,-0.11,15,0,15,2,0,0,0,1,0,1,8.1,9,9,6.6,42,12,1,0,1,4,0,0,3,1,0,0,9.72,9.72,7.13,7.38,5.98,1.92,-0.11
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
