Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR2
25,최재훈,25,3.23,121,3.45,-0.22,348,338,269,28,77,15,0,1,95,35,1,1,46,17,0,48,4,10,6,0.286,0.414,0.353,0.767,0.156,129.7,3.23
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,레이예스,25,3.21,144,3.63,-0.42,643,627,573,75,187,44,1,13,272,107,7,1,58,3,17,66,25,0,9,0.326,0.386,0.475,0.861,0.156,124.8,3.21
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,윤동희,25,3.14,97,2.57,0.56,399,396,330,54,93,21,1,9,143,53,4,2,49,11,2,65,12,3,6,0.282,0.386,0.433,0.819,0.159,128.9,3.14
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,이주형,25,2.93,127,2.37,0.56,514,510,446,55,107,22,1,11,164,45,15,1,37,28,2,115,7,3,0,0.24,0.337,0.368,0.705,0.115,103.8,2.93
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,오지환,25,2.89,127,2.65,0.24,472,465,419,57,106,24,1,16,180,62,9,7,37,3,0,115,4,7,6,0.253,0.314,0.43,0.744,0.12,101.9,2.89
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,김휘집,25,2.87,142,2.78,0.09,500,498,429,64,107,18,2,17,180,56,10,2,40,27,0,89,9,2,2,0.249,0.349,0.42,0.769,0.138,112.3,2.87
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,정수빈,25,2.83,132,2.32,0.51,546,537,462,89,119,16,4,6,161,38,26,13,61,11,2,57,7,8,4,0.258,0.355,0.348,0.703,0.122,104.8,2.83
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,김영웅,25,2.82,125,2.03,0.79,499,497,446,66,111,22,2,22,203,72,6,2,48,2,3,143,6,0,3,0.249,0.323,0.455,0.778,0.132,102.8,2.82
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,김호령,25,2.82,105,2.57,0.24,381,373,332,46,94,26,3,6,144,39,12,1,34,6,0,94,4,8,1,0.283,0.359,0.434,0.793,0.146,123.2,2.82
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,권희동,25,2.76,136,2.62,0.13,456,448,358,56,88,24,0,6,130,39,5,5,77,11,0,80,10,8,2,0.246,0.393,0.363,0.756,0.154,124.8,2.76
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,데이비슨,25,2.72,112,3.1,-0.38,439,439,386,63,113,18,0,36,239,97,1,0,31,8,1,118,10,0,14,0.293,0.346,0.619,0.965,0.184,149,2.72
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,문성주,25,2.61,135,2.31,0.31,542,542,475,57,145,20,2,3,178,70,4,3,54,4,0,59,10,0,9,0.305,0.375,0.375,0.75,0.135,115.1,2.61
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,강민호,25,2.59,127,2.33,0.26,465,461,412,37,111,23,1,12,172,71,2,2,38,7,4,69,16,1,7,0.269,0.336,0.417,0.753,0.124,96.4,2.59
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,문현빈,25,2.42,141,3.1,-0.69,592,585,528,71,169,30,2,12,239,80,17,6,38,10,2,82,11,5,11,0.32,0.37,0.453,0.823,0.149,124.2,2.42
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,최지훈,25,2.3,140,2.25,0.05,574,568,517,66,147,16,4,7,192,45,28,7,43,5,2,87,2,4,5,0.284,0.342,0.371,0.713,0.116,93.8,2.3
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,장성우,25,2.27,129,2.24,0.03,480,477,413,44,102,13,0,14,157,58,0,1,55,2,1,96,13,2,8,0.247,0.333,0.38,0.713,0.118,96.1,2.27
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,김선빈,25,2.11,84,2.74,-0.63,308,306,271,31,87,18,1,3,116,46,4,0,31,3,0,35,9,2,1,0.321,0.395,0.428,0.823,0.162,136.6,2.11
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,유강남,25,2.09,110,1.9,0.18,350,347,303,35,83,18,0,5,116,38,0,0,26,13,0,66,11,3,5,0.274,0.352,0.383,0.735,0.126,101.4,2.09
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,하주석,25,2.08,95,1.38,0.71,305,294,276,34,82,14,0,4,108,28,2,1,12,5,0,66,10,11,1,0.297,0.337,0.391,0.728,0.116,96.8,2.08
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,고승민,25,2.05,121,1.66,0.39,538,532,469,71,127,21,2,4,164,45,5,1,56,3,1,83,8,6,4,0.271,0.35,0.35,0.7,0.118,94.3,2.05
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,리베라토,25,2,62,2.46,-0.47,273,273,246,41,77,18,2,10,129,39,1,0,23,0,0,47,3,0,4,0.313,0.366,0.524,0.89,0.172,143.1,2
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,이진영,25,1.99,115,1.42,0.57,366,366,321,49,88,13,0,11,134,43,1,4,38,2,0,93,8,0,5,0.274,0.35,0.417,0.767,0.136,113.4,1.99
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,나성범,25,1.91,82,2.23,-0.32,310,309,261,30,70,16,0,10,116,36,0,0,42,6,1,79,6,0,1,0.268,0.381,0.444,0.825,0.163,136.6,1.91
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,김재환,25,1.91,103,1.51,0.4,407,405,344,42,83,13,2,13,139,50,7,2,57,4,3,96,4,0,2,0.241,0.354,0.404,0.758,0.138,118.1,1.91
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,박건우,25,1.85,124,2.19,-0.33,442,440,384,43,111,24,1,9,164,67,6,4,47,5,2,63,6,1,5,0.289,0.37,0.427,0.797,0.147,119.4,1.85
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,정준재,25,1.84,132,1.67,0.17,442,426,371,58,91,10,3,0,107,25,37,8,51,3,0,93,4,16,1,0.245,0.34,0.288,0.628,0.101,81.7,1.84
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,한유섬,25,1.82,128,1.9,-0.08,511,507,455,50,124,24,0,15,193,71,1,0,46,7,3,120,6,1,2,0.273,0.347,0.424,0.771,0.134,108.4,1.82
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,오명진,25,1.8,107,1.15,0.65,371,363,331,38,87,14,4,4,121,41,5,3,27,3,1,94,3,7,3,0.263,0.321,0.366,0.687,0.105,89.8,1.8
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,플로리얼,25,1.78,65,1.68,0.1,285,285,258,36,70,18,2,8,116,29,13,3,24,1,2,65,2,0,2,0.271,0.333,0.45,0.783,0.134,111.5,1.78
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,안재석,25,1.77,35,1.41,0.37,147,145,135,25,43,16,1,4,73,20,2,1,11,0,1,27,3,1,0,0.319,0.37,0.541,0.911,0.177,149.4,1.77
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,김태군,25,1.77,100,1.24,0.53,274,266,236,20,61,10,1,5,88,31,0,0,17,10,1,20,9,8,3,0.258,0.331,0.373,0.704,0.111,92.3,1.77
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,허경민,25,1.68,114,1.69,-0.01,481,478,420,47,119,18,0,4,149,44,4,1,39,15,1,35,14,3,4,0.283,0.362,0.355,0.717,0.123,99.4,1.68
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,강백호,25,1.68,95,1.74,-0.06,369,367,321,41,85,18,1,15,150,61,2,4,44,3,3,64,9,0,1,0.265,0.358,0.467,0.825,0.154,125.9,1.68
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,강승호,25,1.55,115,0.65,0.9,400,396,360,51,85,19,3,8,134,37,14,3,24,11,2,113,7,2,3,0.236,0.302,0.372,0.674,0.096,82.3,1.55
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,한태양,25,1.52,108,1.68,-0.15,267,264,230,42,63,14,2,2,87,22,3,2,32,2,0,69,3,3,0,0.274,0.367,0.378,0.745,0.139,113.3,1.52
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,류지혁,25,1.51,129,1.12,0.39,464,450,400,54,112,14,0,1,129,37,11,6,33,13,0,73,11,14,4,0.28,0.351,0.323,0.674,0.108,84.1,1.51
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,최정,25,1.41,95,1.91,-0.5,406,402,340,54,83,12,0,23,164,63,1,0,51,12,6,94,10,0,3,0.244,0.36,0.482,0.842,0.157,126.5,1.41
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,전준우,25,1.39,114,1.84,-0.45,472,469,410,50,120,26,1,8,172,70,2,1,44,9,2,71,9,3,6,0.293,0.369,0.42,0.789,0.144,115.1,1.39
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,채은성,25,1.37,132,1.95,-0.57,527,520,480,54,138,27,1,19,224,88,1,2,31,13,5,96,4,3,0,0.288,0.347,0.467,0.814,0.143,118.4,1.37
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,박승규,25,1.33,64,1.23,0.1,200,199,174,39,50,5,0,6,73,14,5,4,21,4,0,43,2,1,0,0.287,0.377,0.42,0.797,0.152,118.9,1.33
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,김도영,25,1.33,30,1.11,0.22,122,121,110,20,34,9,0,7,64,27,3,0,10,0,1,23,3,0,2,0.309,0.361,0.582,0.943,0.181,152.4,1.33
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,양도근,25,1.32,116,0.56,0.76,198,187,166,23,43,5,0,0,48,16,5,1,18,2,0,41,3,11,1,0.259,0.337,0.289,0.626,0.095,74.2,1.32
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,최정원,25,1.31,91,1.21,0.1,155,151,120,40,33,3,0,0,36,11,30,6,18,12,0,22,0,4,1,0.275,0.417,0.3,0.717,0.145,117.3,1.31
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,양석환,25,1.24,72,0.68,0.56,294,293,262,32,65,16,0,8,105,31,1,0,24,5,1,82,6,0,3,0.248,0.32,0.401,0.721,0.115,98.5,1.24
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,이성규,25,1.23,68,0.33,0.9,154,153,126,17,25,5,1,6,50,21,2,2,15,10,0,52,3,1,2,0.198,0.327,0.397,0.724,0.124,96.5,1.23
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,로하스,25,1.21,95,1.39,-0.17,384,382,331,48,79,20,0,14,141,43,1,1,48,1,3,71,9,0,4,0.239,0.333,0.426,0.759,0.131,107,1.21
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,박찬형,25,1.19,48,1.42,-0.23,148,147,129,21,44,8,2,3,65,19,1,1,11,7,1,26,1,0,1,0.341,0.419,0.504,0.923,0.19,152.1,1.19
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,김상수,25,1.17,113,1.64,-0.46,423,417,355,42,90,14,0,5,119,47,3,1,52,4,1,57,8,5,7,0.254,0.349,0.335,0.684,0.115,93.3,1.17
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,손아섭,25,1.14,111,0.75,0.39,416,410,372,39,107,22,3,1,138,50,0,4,37,1,2,59,3,4,2,0.288,0.352,0.371,0.723,0.122,99.6,1.14
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,전민재,25,1.13,101,1.75,-0.62,369,359,331,39,95,15,0,5,125,34,3,3,22,4,0,63,7,10,2,0.287,0.337,0.378,0.715,0.115,90.6,1.13
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,임지열,25,1.04,102,0.71,0.33,417,416,369,51,90,14,2,11,141,50,13,6,42,2,0,111,11,1,3,0.244,0.322,0.382,0.704,0.114,102.4,1.04
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,홍창기,25,0.99,51,1.09,-0.1,215,213,174,32,50,4,0,1,57,16,3,0,29,6,0,40,4,2,4,0.287,0.399,0.328,0.727,0.141,119.4,0.99
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,김지찬,25,0.94,90,1.41,-0.48,373,363,317,59,89,9,2,0,102,23,22,3,38,5,0,44,7,10,3,0.281,0.364,0.322,0.686,0.118,93.1,0.94
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,이유찬,25,0.84,89,0.99,-0.15,311,305,269,36,65,8,1,1,78,16,12,2,33,2,0,66,4,6,1,0.242,0.328,0.29,0.618,0.093,79,0.84
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,김동혁,25,0.83,93,0.32,0.5,114,110,89,19,20,4,1,0,26,6,13,4,18,3,0,26,3,4,0,0.225,0.373,0.292,0.665,0.126,100.7,0.83
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,박지훈,25,0.82,37,1,-0.18,55,54,48,11,20,4,0,1,27,8,1,0,5,1,0,12,1,1,0,0.417,0.481,0.563,1.044,0.239,203.7,0.82
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,김인태,25,0.8,106,0.79,0.02,225,225,183,17,39,10,1,3,60,25,0,1,36,5,0,57,2,0,1,0.213,0.356,0.328,0.684,0.126,107.2,0.8
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,이호준,25,0.8,99,1.01,-0.21,153,150,132,20,32,7,4,3,56,23,1,0,14,3,0,33,3,3,1,0.242,0.327,0.424,0.751,0.13,105.1,0.8
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,심우준,25,0.8,94,0.42,0.38,275,268,247,39,57,9,1,2,74,22,11,1,17,3,0,49,4,7,1,0.231,0.287,0.3,0.587,0.07,58,0.8
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,고명준,25,0.79,130,0.07,0.72,500,500,471,46,131,20,1,17,204,64,2,0,20,2,1,99,12,0,7,0.278,0.306,0.433,0.739,0.112,90.8,0.79
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,최원영,25,0.77,119,0.15,0.62,115,112,103,37,29,5,0,0,34,2,8,4,4,4,0,20,4,3,1,0.282,0.33,0.33,0.66,0.095,81.9,0.77
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,장두성,25,0.71,118,0.2,0.51,284,277,248,51,65,3,3,0,74,25,17,5,24,3,0,64,3,7,2,0.262,0.332,0.298,0.63,0.094,75,0.71
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,한준수,25,0.66,103,0.98,-0.32,276,276,244,33,55,12,1,7,90,26,0,0,26,3,1,48,4,0,3,0.225,0.304,0.369,0.673,0.1,85.3,0.66
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,오윤석,25,0.66,77,0.29,0.37,184,176,156,30,40,8,1,0,50,19,0,0,12,7,0,41,4,8,1,0.256,0.335,0.321,0.656,0.101,82,0.66
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,임종성,25,0.65,33,0.27,0.38,89,88,83,7,23,4,0,2,33,11,1,0,3,1,0,26,1,1,1,0.277,0.307,0.398,0.705,0.102,86.8,0.65
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,이주헌,25,0.65,76,1.03,-0.39,156,154,128,22,28,3,0,4,43,9,0,0,18,8,0,30,2,2,0,0.219,0.351,0.336,0.687,0.121,104.4,0.65
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,조형우,25,0.59,102,0.44,0.14,294,293,269,23,64,8,0,4,84,29,0,0,19,3,0,64,5,1,2,0.238,0.294,0.312,0.606,0.076,61.5,0.59
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,이원석,25,0.58,129,-0.08,0.66,248,241,212,60,43,7,0,4,62,24,22,3,23,4,0,51,4,7,2,0.203,0.29,0.292,0.582,0.074,62.4,0.58
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,최주환,25,0.56,120,1.03,-0.47,506,504,459,45,126,31,1,12,195,74,0,0,36,5,2,66,8,0,6,0.275,0.33,0.425,0.755,0.124,111.4,0.56
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,전병우,25,0.55,59,0.62,-0.07,97,97,77,11,21,2,0,1,26,13,1,0,19,1,0,27,3,0,0,0.273,0.423,0.338,0.761,0.164,125.9,0.55
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,이도윤,25,0.53,113,0.32,0.21,277,266,250,37,65,11,3,1,85,36,1,0,11,3,1,52,5,10,3,0.26,0.296,0.34,0.636,0.08,66.5,0.53
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,김규성,25,0.53,133,0.4,0.13,222,217,193,30,45,4,0,3,58,16,5,2,21,2,0,49,1,5,1,0.233,0.313,0.301,0.614,0.087,73.1,0.53
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,김한별,25,0.5,76,0.43,0.07,72,70,64,14,20,2,0,0,22,5,1,0,3,3,0,5,2,2,0,0.313,0.371,0.344,0.715,0.121,99.1,0.5
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,천성호,25,0.49,83,0.34,0.16,199,195,173,24,41,9,2,1,57,17,3,1,17,5,0,29,2,4,0,0.237,0.323,0.329,0.652,0.101,83.2,0.49
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,김태연,25,0.49,120,0.07,0.43,340,334,303,40,79,15,0,3,103,20,5,3,23,8,0,62,10,6,0,0.261,0.329,0.34,0.669,0.103,85.6,0.49
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,황재균,25,0.48,112,1.08,-0.61,424,422,385,50,106,19,0,7,146,48,3,1,34,2,1,84,2,1,2,0.275,0.336,0.379,0.715,0.116,95.2,0.48
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,스티븐슨,25,0.45,39,0.76,-0.3,168,167,149,26,39,12,0,3,60,14,2,0,14,4,0,43,2,1,0,0.262,0.341,0.403,0.744,0.129,104.5,0.45
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,안상현,25,0.45,102,0.71,-0.27,289,280,258,38,68,8,2,6,98,15,17,6,18,2,0,85,2,9,2,0.264,0.314,0.38,0.694,0.105,85,0.45
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,박정우,25,0.45,53,0.4,0.04,75,75,62,17,17,2,0,0,19,4,2,1,10,3,0,12,1,0,0,0.274,0.4,0.306,0.706,0.138,117.1,0.45
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,황영묵,25,0.42,117,0.86,-0.44,286,283,260,40,71,17,1,1,93,22,1,3,20,2,0,37,4,2,1,0.273,0.329,0.358,0.687,0.106,87.8,0.42
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,권동진,25,0.4,123,0.52,-0.11,309,303,271,34,61,12,3,1,82,25,3,1,30,1,0,91,8,6,1,0.225,0.304,0.303,0.607,0.084,68.4,0.4
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,김동헌,25,0.4,49,0.21,0.19,91,91,82,8,22,3,0,0,25,8,0,0,7,1,0,23,0,0,1,0.268,0.33,0.305,0.635,0.092,81.8,0.4
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,윤도현,25,0.38,40,1,-0.62,160,158,149,24,41,7,2,6,70,17,2,1,8,1,0,36,1,2,0,0.275,0.316,0.47,0.786,0.133,112,0.38
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,문상철,25,0.38,79,0.08,0.3,209,206,173,22,37,6,1,5,60,20,1,1,25,5,0,44,3,3,3,0.214,0.325,0.347,0.672,0.11,89.7,0.38
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,류효승,25,0.37,27,0.43,-0.06,103,103,94,18,27,5,0,6,50,16,0,1,7,2,0,28,1,0,0,0.287,0.35,0.532,0.882,0.167,132.6,0.37
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,박병호,25,0.36,77,0.16,0.2,232,232,196,26,39,5,0,15,89,33,0,0,27,7,0,70,5,0,2,0.199,0.315,0.454,0.769,0.134,102.9,0.36
