Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR2
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,김건희,25,0.3,105,0.35,-0.05,344,337,322,24,78,20,2,3,111,25,2,1,13,0,0,102,10,7,2,0.242,0.27,0.345,0.615,0.07,63,0.3
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,김기연,25,0.3,100,0.54,-0.24,245,241,219,19,54,9,0,2,69,24,1,0,19,1,0,44,8,4,2,0.247,0.307,0.315,0.622,0.084,72.6,0.3
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,도태훈,25,0.28,61,0.09,0.2,98,92,77,9,14,4,1,1,23,8,3,0,7,8,0,16,2,6,0,0.182,0.315,0.299,0.614,0.093,74.9,0.28
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,한석현,25,0.26,61,0.02,0.23,138,134,113,18,22,5,0,3,36,21,1,1,12,7,0,27,1,4,2,0.195,0.306,0.319,0.625,0.09,73.3,0.26
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,김정호,25,0.26,8,0.19,0.06,11,10,9,3,4,0,0,0,4,0,0,0,0,1,0,4,0,1,0,0.444,0.5,0.444,0.944,0.207,161.4,0.26
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,홍성호,25,0.23,9,0.28,-0.05,27,27,26,3,9,1,0,2,16,3,0,0,1,0,1,8,0,0,0,0.346,0.37,0.615,0.985,0.183,150.7,0.23
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,이재원,25,0.23,98,-0.05,0.27,151,143,125,4,25,2,1,1,32,12,1,1,14,1,0,23,3,8,3,0.2,0.28,0.256,0.536,0.058,48.5,0.23
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,박재엽,25,0.22,9,0.28,-0.05,16,16,14,2,4,1,0,1,8,3,0,0,2,0,0,5,0,0,0,0.286,0.375,0.571,0.946,0.195,148.3,0.22
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,이호연,25,0.21,32,0.3,-0.08,75,74,70,8,24,7,0,1,34,8,0,0,3,1,0,14,2,1,0,0.343,0.378,0.486,0.864,0.164,129.9,0.21
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,손호영,25,0.2,97,0.24,-0.04,375,364,328,39,82,12,0,4,106,41,7,0,22,10,0,66,9,11,4,0.25,0.313,0.323,0.636,0.088,71.3,0.2
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,이형종,25,0.19,33,0.08,0.12,82,80,70,4,14,3,0,2,23,6,1,0,9,1,0,22,3,2,0,0.2,0.3,0.329,0.629,0.092,83.5,0.19
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,박주홍,25,0.19,102,0.27,-0.08,283,281,248,33,56,11,3,3,82,23,11,1,30,1,0,72,5,2,2,0.226,0.31,0.331,0.641,0.096,84,0.19
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,고종욱,25,0.18,46,-0.03,0.22,123,122,115,13,34,2,0,3,45,16,2,1,5,0,1,17,2,0,3,0.296,0.317,0.391,0.708,0.1,83.9,0.18
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,현원회,25,0.17,21,-0.04,0.21,62,62,59,6,18,1,0,1,22,6,0,0,3,0,0,16,3,0,0,0.305,0.339,0.373,0.712,0.112,89.2,0.17
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,이승현,25,0.16,4,0.13,0.03,1,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,3,4,1.328,1314.7,0.16
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,김민성,25,0.15,96,0.75,-0.59,254,252,214,25,52,13,0,3,74,35,0,1,33,4,1,48,7,2,1,0.243,0.353,0.346,0.699,0.122,96,0.15
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,황성빈,25,0.14,79,0.41,-0.27,273,270,246,43,63,4,4,1,78,22,25,4,18,4,0,46,3,3,2,0.256,0.315,0.317,0.632,0.089,72.2,0.14
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,김민혁,25,0.14,10,0.07,0.06,21,21,17,2,2,0,0,1,5,1,0,0,4,0,0,6,0,0,0,0.118,0.286,0.294,0.58,0.088,73.7,0.14
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,주성원,25,0.13,58,0.05,0.09,174,174,156,21,39,6,0,1,48,12,4,0,13,4,0,45,2,0,1,0.25,0.322,0.308,0.63,0.091,81.3,0.13
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,신범수,25,0.11,29,0.05,0.06,39,39,33,1,6,1,0,1,10,3,0,0,5,1,0,7,0,0,0,0.182,0.308,0.303,0.611,0.092,74.9,0.11
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,장규현,25,0.11,2,0.11,0.01,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0.582,478.3,0.11
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,이주형,25,0.11,11,0.12,-0.01,17,17,16,2,5,0,0,0,5,2,0,0,1,0,0,7,0,0,0,0.313,0.353,0.313,0.666,0.102,91.3,0.11
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,채현우,25,0.11,41,-0.14,0.25,52,52,48,8,9,1,1,1,15,9,2,0,3,0,0,13,1,0,1,0.188,0.231,0.313,0.544,0.045,37.4,0.11
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,김태윤,25,0.11,8,0.08,0.03,4,4,2,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0.5,0.75,0.5,1.25,0.387,352,0.11
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,문정빈,25,0.11,21,-0.05,0.16,33,33,30,5,5,0,0,2,11,4,0,0,1,2,0,11,0,0,0,0.167,0.242,0.367,0.609,0.067,57.2,0.11
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,박민석,25,0.1,19,0.08,0.02,21,21,19,5,5,1,1,0,8,1,0,1,2,0,0,4,0,0,0,0.263,0.333,0.421,0.754,0.134,114.3,0.1
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,함창건,25,0.1,15,-0.21,0.3,36,36,32,2,6,2,0,0,8,2,0,0,3,0,0,9,1,0,1,0.188,0.25,0.25,0.5,0.038,33,0.1
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,김준태,25,0.1,2,0.1,0,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0.582,486.7,0.1
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,주효상,25,0.09,8,0.21,-0.12,17,17,15,1,5,2,0,0,7,1,0,0,2,0,0,4,0,0,0,0.333,0.412,0.467,0.879,0.182,157.2,0.09
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,안치영,25,0.09,47,0.06,0.03,56,52,44,9,10,1,0,1,14,6,0,2,4,3,0,13,1,4,1,0.227,0.327,0.318,0.645,0.098,78.7,0.09
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,한승택,25,0.08,15,0.02,0.06,23,23,21,3,5,1,0,0,6,0,0,0,1,1,0,7,1,0,0,0.238,0.304,0.286,0.59,0.073,63,0.08
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,이율예,25,0.08,8,0.13,-0.05,13,13,13,3,3,0,0,3,12,7,0,0,0,0,0,6,0,0,0,0.231,0.231,0.923,1.154,0.229,185,0.08
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,정현창,25,0.08,16,-0.01,0.09,21,21,19,4,5,0,0,0,5,0,0,1,2,0,0,5,0,0,0,0.263,0.333,0.263,0.596,0.085,73,0.08
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,박준영,25,0.07,41,0.37,-0.31,126,125,111,9,25,8,0,1,36,10,3,0,10,3,0,32,1,1,1,0.225,0.304,0.324,0.628,0.088,74.8,0.07
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,오선진,25,0.06,99,0.19,-0.13,163,159,143,15,34,8,0,1,45,19,0,0,12,3,0,45,2,4,1,0.238,0.308,0.315,0.623,0.086,77.4,0.06
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,천재환,25,0.06,129,0.14,-0.08,294,288,261,47,62,10,3,6,96,31,15,5,17,5,0,58,3,6,5,0.238,0.292,0.368,0.66,0.09,74,0.06
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,김도환,25,0.06,6,0.01,0.05,14,14,14,3,4,1,0,0,5,1,0,0,0,0,0,4,0,0,0,0.286,0.286,0.357,0.643,0.076,54.6,0.06
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,최인호,25,0.05,78,0.15,-0.1,159,158,139,7,36,9,0,2,51,19,1,0,13,5,0,29,5,1,1,0.259,0.342,0.367,0.709,0.118,96.9,0.05
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,오영수,25,0.05,67,0.09,-0.04,179,179,155,14,36,5,0,3,50,23,3,2,22,2,0,47,0,0,0,0.232,0.335,0.323,0.658,0.108,87.4,0.05
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,박건우,25,0.05,6,0.11,-0.07,3,3,3,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,0.35,267.6,0.05
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,박관우,25,0.04,39,0.18,-0.14,58,58,53,12,14,2,0,2,22,13,0,0,3,1,0,11,1,0,1,0.264,0.31,0.415,0.725,0.111,94.9,0.04
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,장준원,25,0.03,73,-0.64,0.67,154,149,140,10,29,3,0,1,35,11,0,0,8,0,0,27,5,5,1,0.207,0.248,0.25,0.498,0.034,27.5,0.03
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,여동건,25,0.03,19,-0.26,0.3,21,21,19,6,2,0,0,0,2,2,0,1,2,0,0,2,1,0,0,0.105,0.19,0.105,0.295,-0.027,-23.9,0.03
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,송찬의,25,0.03,66,-0.06,0.1,166,165,147,18,31,9,1,3,51,20,2,2,9,8,0,49,4,1,1,0.211,0.291,0.347,0.638,0.087,74.1,0.03
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,김현종,25,0.03,10,0.1,-0.07,6,6,5,3,2,1,0,0,3,0,0,0,1,0,0,1,1,0,0,0.4,0.5,0.6,1.1,0.264,231.7,0.03
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,오선우,25,0.03,124,0.95,-0.92,474,474,437,58,116,17,1,18,189,56,0,2,34,3,2,158,11,0,0,0.265,0.323,0.432,0.755,0.124,105,0.03
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,박영빈,25,0.03,16,0.05,-0.03,5,5,4,8,1,0,0,0,1,1,4,2,1,0,0,2,0,0,0,0.25,0.4,0.25,0.65,0.131,100.9,0.03
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,최항,25,0.02,8,-0.02,0.04,7,7,6,1,1,0,0,0,1,1,0,0,1,0,0,4,0,0,0,0.167,0.286,0.167,0.453,0.045,35,0.02
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,유영찬,25,0.02,11,0.02,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0.193,161.5,0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,최정용,25,0.02,4,-0.09,0.11,6,6,6,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.167,0.167,0.167,0.334,-0.04,-34,0.02
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,정보근,25,0.02,93,0.02,0,152,147,129,4,24,4,1,1,33,15,0,0,18,1,1,39,4,4,0,0.186,0.291,0.256,0.547,0.066,52.8,0.02
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,정현승,25,0.01,3,0.08,-0.06,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1.5,0.38,376,0.01
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,김주성,25,0.01,16,0,0.01,17,17,15,3,3,0,0,1,6,1,0,2,1,1,0,2,0,0,0,0.2,0.294,0.4,0.694,0.105,87,0.01
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,김민수,25,-0.01,13,-0.11,0.11,13,13,11,0,2,0,0,0,2,1,1,0,1,0,0,6,0,0,1,0.182,0.231,0.182,0.413,0.006,4.6,-0.01
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,서건창,25,-0.01,10,-0.1,0.09,26,24,22,1,3,1,0,1,7,2,1,0,2,0,0,5,1,2,0,0.136,0.208,0.318,0.526,0.041,34.6,-0.01
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,장진혁,25,-0.01,86,-0.16,0.15,157,153,139,19,29,3,1,4,46,19,1,0,13,0,0,46,1,4,1,0.209,0.275,0.331,0.606,0.075,60.9,-0.01
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,강승구,25,-0.01,1,-0.02,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17,-129.6,-0.01
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,김태근,25,-0.02,11,0.08,-0.1,14,14,12,2,4,0,0,0,4,0,0,0,2,0,0,4,0,0,0,0.333,0.429,0.333,0.762,0.156,123.2,-0.02
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,박진우,25,-0.02,1,-0.02,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17,-139.5,-0.02
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,이태경,25,-0.02,2,-0.02,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.17,-129.6,-0.02
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,김기훈,25,-0.02,2,-0.02,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.17,-133.6,-0.02
,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,차승준,25,-0.02,1,-0.02,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17,-147.8,-0.02
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,김범준,25,-0.02,1,-0.02,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.17,-139.5,-0.02
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,김성재,25,-0.02,1,-0.02,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17,-133.6,-0.02
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,원성준,25,-0.03,24,0.01,-0.03,53,53,46,5,8,1,0,2,15,4,0,0,7,0,0,18,1,0,0,0.174,0.283,0.326,0.609,0.085,78.7,-0.03
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,임근우,25,-0.03,3,-0.13,0.1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.17,-139,-0.03
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,한재환,25,-0.03,16,-0.16,0.13,31,31,27,2,5,0,0,0,5,4,0,0,2,2,0,14,0,0,0,0.185,0.29,0.185,0.475,0.045,36.6,-0.03
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,배정대,25,-0.03,99,-0.57,0.54,276,269,240,25,49,11,2,2,70,28,6,3,19,7,0,65,4,7,3,0.204,0.279,0.292,0.571,0.066,52.8,-0.03
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,김병준,25,-0.04,9,-0.05,0.01,5,5,5,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0.2,0.4,-0.014,-10.9,-0.04
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,김병휘,25,-0.04,7,0.11,-0.15,6,6,4,2,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0.25,0.5,0.25,0.75,0.202,185.8,-0.04
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,오태양,25,-0.04,14,0.07,-0.11,13,13,12,6,3,0,0,0,3,1,2,1,1,0,0,3,0,0,0,0.25,0.308,0.25,0.558,0.066,51.8,-0.04
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,김성우,25,-0.04,7,-0.04,-0.01,5,5,5,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,-0.014,-12.7,-0.04
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,박정현,25,-0.05,2,-0.05,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.17,-136.1,-0.05
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,강현구,25,-0.05,1,-0.05,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.17,-151,-0.05
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,박한결,25,-0.05,8,0.02,-0.07,19,19,17,2,2,0,0,2,8,3,0,0,2,0,0,8,0,0,0,0.118,0.211,0.471,0.682,0.089,72,-0.05
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,김성현,25,-0.05,59,0.09,-0.15,137,133,115,15,25,3,0,1,31,11,1,1,16,1,0,20,4,4,1,0.217,0.316,0.27,0.586,0.083,66.2,-0.05
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,박준순,25,-0.05,91,0.51,-0.56,298,295,282,34,80,11,2,4,107,19,10,2,10,1,1,56,6,2,3,0.284,0.307,0.379,0.686,0.096,82.2,-0.05
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,이지영,25,-0.06,76,0.07,-0.13,216,212,197,13,47,6,1,3,64,18,2,1,11,2,0,22,8,4,2,0.239,0.283,0.325,0.608,0.073,58.6,-0.06
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,조수행,25,-0.06,108,-0.01,-0.05,140,133,119,30,29,4,0,0,33,9,30,7,14,0,0,29,1,7,0,0.244,0.323,0.277,0.6,0.086,74,-0.06
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,홍현빈,25,-0.06,32,-0.23,0.17,38,36,32,8,4,2,0,0,6,0,0,0,3,1,0,8,0,2,0,0.125,0.222,0.188,0.41,0.013,10.1,-0.06
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,이승민,25,-0.06,2,-0.06,0,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0.2,0.4,-0.014,-11.4,-0.06
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,박계범,25,-0.07,94,0.46,-0.53,198,191,175,23,46,9,2,1,62,27,3,1,14,1,0,45,4,7,1,0.263,0.319,0.354,0.673,0.102,88.1,-0.07
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,함수호,25,-0.07,6,-0.14,0.07,14,14,14,1,3,0,0,0,3,1,0,0,0,0,0,6,0,0,0,0.214,0.214,0.214,0.428,-0.003,-2.2,-0.07
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,이창용,25,-0.07,11,0.09,-0.16,17,17,15,2,3,1,0,1,7,2,1,0,2,0,0,8,0,0,0,0.2,0.294,0.467,0.761,0.128,97.9,-0.07
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,이정범,25,-0.07,3,-0.07,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.17,-133.5,-0.07
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,나승엽,25,-0.07,105,0.66,-0.73,392,388,328,40,75,12,2,9,118,44,0,0,55,5,2,65,10,3,1,0.229,0.347,0.36,0.707,0.125,99.8,-0.07
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,장승현,25,-0.07,4,-0.06,-0.01,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.17,-132.8,-0.07
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,김석환,25,-0.08,47,0.31,-0.39,134,134,117,14,31,1,2,2,42,16,0,0,14,2,0,55,0,0,1,0.265,0.351,0.359,0.71,0.123,103.8,-0.08
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,김건형,25,-0.08,2,-0.02,-0.06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17,-132.8,-0.08
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,이정훈,25,-0.08,59,0.32,-0.4,148,148,132,20,34,4,0,4,50,14,0,1,13,3,0,48,4,0,0,0.258,0.338,0.379,0.717,0.12,96.3,-0.08
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,이재상,25,-0.09,2,0.04,-0.13,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1,0.22,156.2,-0.09
,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,이원석,25,-0.09,5,-0.09,0,8,8,7,1,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0.143,0.25,0.143,0.393,0.018,16.4,-0.09
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,박성재,25,-0.09,6,-0.17,0.08,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-0.17,-143.3,-0.09
,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,이창진,25,-0.1,37,-0.37,0.27,113,112,93,11,15,3,0,1,21,9,0,2,16,2,0,22,2,1,1,0.161,0.295,0.226,0.521,0.067,56.9,-0.1
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,염승원,25,-0.1,11,-0.14,0.03,21,21,19,2,4,0,0,0,4,1,0,0,1,0,0,6,0,0,1,0.211,0.238,0.211,0.449,0.013,11.9,-0.1
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,이병헌,25,-0.1,55,-0.14,0.04,59,59,55,5,11,3,0,1,17,7,0,0,3,1,0,13,1,0,0,0.2,0.254,0.309,0.563,0.056,43.2,-0.1
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,변우혁,25,-0.11,47,-0.49,0.39,153,153,142,11,31,7,0,0,38,17,0,0,10,1,0,47,3,0,0,0.218,0.275,0.268,0.543,0.054,45.8,-0.11
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,허인서,25,-0.11,20,-0.23,0.12,30,30,29,2,5,1,0,0,6,2,0,0,0,1,0,12,1,0,0,0.172,0.2,0.207,0.407,-0.007,-6.1,-0.11
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,강현우,25,-0.11,40,0.05,-0.16,78,75,64,5,12,1,0,1,16,8,0,0,10,0,0,14,1,3,1,0.188,0.293,0.25,0.543,0.068,55.5,-0.11
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,조세진,25,-0.11,12,-0.01,-0.1,9,9,7,1,1,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0.143,0.333,0.143,0.476,0.078,59,-0.11
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,이선우,25,-0.12,10,-0.08,-0.04,11,11,11,0,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0.182,0.182,0.273,0.455,0.001,0.9,-0.12
,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,박민준,25,-0.12,7,-0.04,-0.08,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.17,-142.3,-0.12
,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,이민재,25,-0.12,3,-0.11,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-0.17,-137.9,-0.12
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,유준규,25,-0.12,35,-0.03,-0.09,41,41,34,13,4,2,0,0,6,3,2,1,7,0,0,13,0,0,0,0.118,0.268,0.176,0.444,0.046,38.7,-0.12
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,박수종,25,-0.12,38,-0.28,0.16,45,45,42,6,6,0,0,1,9,2,1,0,3,0,0,12,0,0,0,0.143,0.2,0.214,0.414,0.004,3.3,-0.12
,,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,이승원,25,-0.12,1,-0.04,-0.08,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17,-151,-0.12
,,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,최성민,25,-0.13,32,-0.29,0.16,21,20,19,3,2,0,0,0,2,2,1,0,1,0,0,5,0,1,0,0.105,0.15,0.105,0.255,-0.056,-45.5,-0.13
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,변상권,25,-0.13,12,-0.12,-0.01,20,20,19,2,5,2,0,0,7,4,0,0,0,0,0,2,0,0,1,0.263,0.25,0.368,0.618,0.057,51.8,-0.13
,,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,손용준,25,-0.13,9,-0.11,-0.02,16,16,15,3,3,0,0,0,3,1,1,0,0,1,0,5,2,0,0,0.2,0.25,0.2,0.45,0.017,15.6,-0.13
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,최상민,25,-0.14,23,-0.02,-0.12,9,9,7,5,1,0,0,0,1,1,1,1,1,1,0,5,0,0,0,0.143,0.333,0.143,0.476,0.07,57.5,-0.14
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,김동엽,25,-0.14,9,-0.14,0,29,29,27,2,6,2,0,0,8,2,0,0,2,0,0,11,1,0,0,0.222,0.276,0.296,0.572,0.063,57.9,-0.14
,,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,임종찬,25,-0.14,17,-0.12,-0.02,35,35,30,2,5,1,0,1,9,2,2,0,5,0,0,13,0,0,0,0.167,0.286,0.3,0.586,0.081,66,-0.14
,,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
